rgn_id,stock_id,year,bbmsy
1,Prionace_glauca-87,2008,1.766658
1,Prionace_glauca-87,2009,1.756939
1,Prionace_glauca-87,2010,1.746694
1,Prionace_glauca-87,2011,1.756699
1,Prionace_glauca-87,2012,1.771055
1,Prionace_glauca-87,2013,1.737596
1,Prionace_glauca-87,2014,1.626197
1,Prionace_glauca-87,2015,1.500125
1,Prionace_glauca-87,2016,1.335407
1,Prionace_glauca-87,2017,1.119652
1,Sardinops_sagax-87,2001,1.265699
1,Sardinops_sagax-87,2002,1.208442
1,Sardinops_sagax-87,2003,1.136197
1,Sardinops_sagax-87,2004,1.052218
1,Sardinops_sagax-87,2005,0.9845735
1,Sardinops_sagax-87,2006,0.9405858
1,Sardinops_sagax-87,2007,0.9084025
1,Sardinops_sagax-87,2008,0.8688584
1,Sardinops_sagax-87,2009,0.8136706
1,Sardinops_sagax-87,2010,0.7280567
1,Sardinops_sagax-87,2011,0.6143935
1,Sardinops_sagax-87,2012,0.5025301
1,Sardinops_sagax-87,2013,0.4114742
1,Sardinops_sagax-87,2014,0.3475832
1,Sardinops_sagax-87,2015,0.3189209
1,Sardinops_sagax-87,2016,0.323264
1,Sardinops_sagax-87,2017,0.3491305
1,Scomber_japonicus-87,2001,1.180727
1,Scomber_japonicus-87,2002,1.137611
1,Scomber_japonicus-87,2003,1.083154
1,Scomber_japonicus-87,2004,1.037614
1,Scomber_japonicus-87,2005,0.9759882
1,Scomber_japonicus-87,2006,0.9176821
1,Scomber_japonicus-87,2007,0.8501704
1,Scomber_japonicus-87,2008,0.8004342
1,Scomber_japonicus-87,2009,0.7684196
1,Scomber_japonicus-87,2010,0.7349745
1,Scomber_japonicus-87,2011,0.7115778
1,Scomber_japonicus-87,2012,0.6995691
1,Scomber_japonicus-87,2013,0.6855813
1,Scomber_japonicus-87,2014,0.6713341
1,Scomber_japonicus-87,2015,0.657413
1,Scomber_japonicus-87,2016,0.6302903
1,Scomber_japonicus-87,2017,0.5874088
1,Scomberomorus_sierra-87,2001,1.591804
1,Scomberomorus_sierra-87,2002,1.586042
1,Scomberomorus_sierra-87,2003,1.55932
1,Scomberomorus_sierra-87,2004,1.527571
1,Scomberomorus_sierra-87,2005,1.5017
1,Scomberomorus_sierra-87,2006,1.482197
1,Scomberomorus_sierra-87,2007,1.455178
1,Scomberomorus_sierra-87,2008,1.435013
1,Scomberomorus_sierra-87,2009,1.41706
1,Scomberomorus_sierra-87,2010,1.394817
1,Scomberomorus_sierra-87,2011,1.368022
1,Scomberomorus_sierra-87,2012,1.347542
1,Scomberomorus_sierra-87,2013,1.326745
1,Scomberomorus_sierra-87,2014,1.29204
1,Scomberomorus_sierra-87,2015,1.2505
1,Scomberomorus_sierra-87,2016,1.191213
1,Scomberomorus_sierra-87,2017,1.111829
1,Thunnus_alalunga-87,2001,1.91
1,Thunnus_alalunga-87,2002,1.76
1,Thunnus_alalunga-87,2003,1.78
1,Thunnus_alalunga-87,2004,1.85
1,Thunnus_alalunga-87,2005,1.87
1,Thunnus_alalunga-87,2006,1.81
1,Thunnus_alalunga-87,2007,1.79
1,Thunnus_alalunga-87,2008,1.86
1,Thunnus_alalunga-87,2009,1.81
1,Thunnus_alalunga-87,2010,1.79
1,Thunnus_alalunga-87,2011,1.81
1,Thunnus_alalunga-87,2012,1.67
1,Thunnus_alalunga-87,2013,1.49
1,Thunnus_alalunga-87,2014,1.665385
1,Thunnus_alalunga-87,2015,1.648352
1,Thunnus_alalunga-87,2016,1.631319
1,Thunnus_alalunga-87,2017,1.614286
1,Thunnus_albacares-87,2001,1.45
1,Thunnus_albacares-87,2002,1.06
1,Thunnus_albacares-87,2003,0.928
1,Thunnus_albacares-87,2004,0.743
1,Thunnus_albacares-87,2005,0.803
1,Thunnus_albacares-87,2006,1.05
1,Thunnus_albacares-87,2007,1.13
1,Thunnus_albacares-87,2008,1.01
1,Thunnus_albacares-87,2009,0.99
1,Thunnus_albacares-87,2010,1.01
1,Thunnus_albacares-87,2011,0.985
1,Thunnus_albacares-87,2012,1.07
1,Thunnus_albacares-87,2013,0.922
1,Thunnus_albacares-87,2014,0.863
1,Thunnus_albacares-87,2015,1.03
1,Thunnus_albacares-87,2016,0.928
1,Thunnus_albacares-87,2017,0.92125
1,Trachurus_murphyi-87,2009,0.4350971
1,Trachurus_murphyi-87,2010,0.370625
1,Trachurus_murphyi-87,2017,0.3602626
1,Trichiurus_lepturus-87,2001,0.9811245
1,Trichiurus_lepturus-87,2002,0.8941972
1,Trichiurus_lepturus-87,2003,0.8484976
1,Trichiurus_lepturus-87,2004,0.8140137
1,Trichiurus_lepturus-87,2005,0.7842918
1,Trichiurus_lepturus-87,2006,0.7521832
1,Trichiurus_lepturus-87,2007,0.7179486
1,Trichiurus_lepturus-87,2008,0.6891064
1,Trichiurus_lepturus-87,2009,0.6732836
1,Trichiurus_lepturus-87,2010,0.6653126
1,Trichiurus_lepturus-87,2011,0.6625003
1,Trichiurus_lepturus-87,2012,0.6659677
1,Trichiurus_lepturus-87,2013,0.6689336
1,Trichiurus_lepturus-87,2014,0.6611426
1,Trichiurus_lepturus-87,2015,0.6392544
