rgn_id,stock_id_taxonkey,year,catch
2,Decapterus_macrosoma-87_601938,2016,24.2469
2,Ethmidium_maculatum-87_601593,2016,14.125104
2,Isacia_conceptionis-87_600397,2016,131.5107
2,Opisthonema_libertate-87_601484,2016,12.0438
2,Sardinops_sagax-87_601477,2016,0
2,Scomber_japonicus-87_600117,2016,4750.309122
2,Trachurus_murphyi-87_600367,2016,1174.15358
2,Engraulis_ringens-87_600004,2016,86588.07
2,Cetengraulis_mysticetus-87_600548,2017,0
2,Cheilodactylus_variegatus-87_600461,2017,1.1214
2,Decapterus_macrosoma-87_601938,2017,15.8094
2,Ethmidium_maculatum-87_601593,2017,0
2,Isacia_conceptionis-87_600397,2017,0
2,Opisthonema_libertate-87_601484,2017,7.3341
2,Sardinops_sagax-87_601477,2017,0
2,Scomber_japonicus-87_600117,2017,4993.217392
2,Trachurus_murphyi-87_600367,2017,475.0913741
2,Engraulis_ringens-87_600004,2017,144059.3
2,Cetengraulis_mysticetus-87_600548,2018,0
2,Cheilodactylus_variegatus-87_600461,2018,1.4319
2,Decapterus_macrosoma-87_601938,2018,1.4202
2,Ethmidium_maculatum-87_601593,2018,5.570956956
2,Isacia_conceptionis-87_600397,2018,47.0529
2,Opisthonema_libertate-87_601484,2018,10.7262
2,Sardinops_sagax-87_601477,2018,0
2,Scomber_japonicus-87_600117,2018,6504.696709
2,Trachurus_murphyi-87_600367,2018,613.4253318
2,Engraulis_ringens-87_600004,2018,155139.26
2,Cetengraulis_mysticetus-87_600548,2019,3.4353
2,Cheilodactylus_variegatus-87_600461,2019,2.019255688
2,Decapterus_macrosoma-87_601938,2019,41.319
2,Ethmidium_maculatum-87_601593,2019,9.487378345
2,Isacia_conceptionis-87_600397,2019,17.2575
2,Opisthonema_libertate-87_601484,2019,1.494
2,Sardinops_sagax-87_601477,2019,0
2,Scomber_japonicus-87_600117,2019,5790.293571
2,Trachurus_murphyi-87_600367,2019,326.4786437
2,Engraulis_ringens-87_600004,2019,140240.08
2,Cetengraulis_mysticetus-87_600548,2020,0
2,Cheilodactylus_variegatus-87_600461,2020,0
2,Decapterus_macrosoma-87_601938,2020,30.2238
2,Ethmidium_maculatum-87_601593,2020,84.0915
2,Isacia_conceptionis-87_600397,2020,0
2,Opisthonema_libertate-87_601484,2020,0.9
2,Sardinops_sagax-87_601477,2020,0
2,Scomber_japonicus-87_600117,2020,212.41395
2,Trachurus_murphyi-87_600367,2020,12.834
2,Engraulis_ringens-87_600004,2020,181305.9
