year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1952,137,87,Paralabrax,Sand basses,502364,161.744571920031,Paralabrax-87
1952,137,87,Paralabrax humeralis,Peruvian rock seabass,600352,24.1257827787594,Paralabrax_humeralis-87
1952,137,87,Paralonchurus peruanus,Peruvian banded croaker,600424,2.18006865570906,Paralonchurus_peruanus-87
1952,137,87,Peristediidae,"Armored searobins, gurnards",400581,3845.66041839742,Peristediidae-87
1952,137,87,Pleuronectiformes,Flatfishes,300061,0.027164944867297,Pleuronectiformes-87
1952,137,87,Pomadasys,Grunters,500516,1023.79162779642,Pomadasys-87
1952,137,87,Prionace glauca,Blue shark,600898,31.24128,Prionace_glauca-87
1952,137,87,Rajiformes,Skates and rays,300014,440.909706839773,Rajiformes-87
1952,137,87,Sarda chiliensis,Eastern Pacific bonito,600113,760.03884855423,Sarda_chiliensis-87
1952,137,87,Sardinops sagax,Pacific sardine,601477,2.25516270699678,Sardinops_sagax-87
1952,137,87,Sciaenidae,"Drums, croakers",400331,2580.53163420842,Sciaenidae-87
1952,137,87,Scomber japonicus,Chub mackerel,600117,21.3730453449901,Scomber_japonicus-87
1952,137,87,Scomberomorus sierra,Pacific sierra,600136,703.204192030658,Scomberomorus_sierra-87
1952,137,87,Scombridae,"Mackerels, tunas, bonitos",400416,6168.40436367814,Scombridae-87
1952,137,87,Seriola,Amberjacks,500928,144.617218371953,Seriola-87
1952,137,87,Serranidae,"Basses, groupers, hinds",400289,1135.84993798399,Serranidae-87
1952,137,87,Sphyraena,"Barracudas, sennets",500372,451.65235001488,Sphyraena-87
1952,137,87,Sphyrna,Hammerhead sharks,500693,1.06927,Sphyrna-87
1952,137,87,Synodontidae,"Lizardfishes, sauries",400160,0.0460043484921327,Synodontidae-87
1952,137,87,Teuthida,Squids,390002,383.840179121724,Teuthida-87
1952,137,87,Thunnus,Tunas,501905,3.3777830066208,Thunnus-87
1952,137,87,Thunnus albacares,Yellowfin tuna,600143,20050.5326667448,Thunnus_albacares-87
1952,137,87,Trachurus murphyi,Chilean jack mackerel,600367,0.154839146066219,Trachurus_murphyi-87
1952,137,87,Triakidae,Houndsharks,400488,27.0913884429885,Triakidae-87
1952,137,87,Trichiurus,Hairtails,500114,1165.16149094429,Trichiurus-87
1952,137,87,Xiphias gladius,Swordfish,600226,22.4406538758774,Xiphias_gladius-87
1953,137,87,Acanthocybium solandri,Wahoo,600089,4.91635298458875,Acanthocybium_solandri-87
1953,137,87,Alopias,Thresher sharks,500639,9.20502,Alopias-87
1953,137,87,Argopecten purpuratus,Peruvian calico scallop,690303,0.26816696218644,Argopecten_purpuratus-87
1953,137,87,Bothidae,Lefteye flounders,400439,235.655932933104,Bothidae-87
1953,137,87,Bramidae,Pomfrets,400319,1148.79637419725,Bramidae-87
1953,137,87,Carangidae,"Jacks, pompanos",400314,15015.137246186,Carangidae-87
1953,137,87,Carcharhinus falciformis,Silky shark,600868,10.87866,Carcharhinus_falciformis-87
1953,137,87,Chaetodipterus zonatus,Pacific spadefish,603599,69.8298446914967,Chaetodipterus_zonatus-87
1953,137,87,Chondrichthyes,"Sharks, rays, chimaeras",200538,0.906555000000001,Chondrichthyes-87
1953,137,87,Crassostrea gigas,Pacific cupped oyster,690283,2.47208426856755,Crassostrea_gigas-87
1953,137,87,Cynoscion analis,Peruvian weakfish,600403,7.10643117697425,Cynoscion_analis-87
1953,137,87,Dasyatis longa,Longtail stingray,613178,195.33876184935,Dasyatis_longa-87
1953,137,87,Dosidicus gigas,Jumbo flying squid,690206,849.814157813116,Dosidicus_gigas-87
1953,137,87,Engraulis ringens,Anchoveta,600004,76.9193751187142,Engraulis_ringens-87
1953,137,87,Epinephelus,"Seabasses, hinds",500366,68.8308483713959,Epinephelus-87
1953,137,87,Ethmidium maculatum,Pacific menhaden,601593,3.66175962654768,Ethmidium_maculatum-87
1953,137,87,Fistularia corneta,Pacific cornetfish,608289,10352.439405104,Fistularia_corneta-87
1953,137,87,Gastropoda,Sea snails,290006,4.43630624329956e-4,Gastropoda-87
1953,137,87,Haemulidae,"Grunts, sweetlips, bonnetmouths",400327,0.113730344152509,Haemulidae-87
